sample_id,customerID,num_sample,test_name,receive_date,analysis_date,report_date,result
2545,88,47,EO157,2024-02-20,2024-02-23,2024-03-08,Positive
2546,83,13,Listeria Mono,2024-02-17,2024-02-22,2024-03-10,Negative
2547,45,80,Aflatoxin,2024-01-01,2024-01-17,2024-02-13,<1
2548,58,49,Aerobic Place Count,2024-01-03,2024-02-22,2024-03-12,<1
2549,93,52,Mold,2024-01-30,2024-02-06,2024-02-15,<1
2550,75,100,Yeast,2024-03-11,2024-03-13,2024-03-15,<1
2551,88,18,Ochratoxin,2024-03-04,2024-03-17,2024-03-17,<1
2552,82,30,Yeast,2024-02-18,2024-02-27,2024-03-13,<1
2553,4,79,Total Coliform,2024-01-20,2024-01-25,2024-02-29,<1
2554,35,61,Salmonella,2024-02-16,2024-03-03,2024-03-03,Negative
2555,98,31,Total Coliform,2024-02-02,2024-02-11,2024-03-12,<1
2556,85,59,Listeria Spp,2024-01-27,2024-01-30,2024-02-07,Negative
2557,62,55,Total Coliform,2024-01-20,2024-02-16,2024-03-14,<1
2558,19,67,Listeria Spp,2024-01-19,2024-01-29,2024-01-31,Negative
2559,69,22,EO157,2024-01-02,2024-01-20,2024-03-17,Negative
2560,26,4,Aerobic Place Count,2024-03-10,2024-03-16,2024-03-17,<1
2561,60,65,Listeria Spp,2024-01-15,2024-01-27,2024-02-14,Positive
2562,9,59,Mold,2024-03-16,2024-03-16,2024-03-16,<1
2563,10,26,Mold,2024-03-04,2024-03-10,2024-03-11,<1
2564,93,57,Listeria Mono,2024-01-19,2024-02-19,2024-03-03,Negative
2565,71,35,Aerobic Place Count,2024-03-06,2024-03-11,2024-03-14,<1
2566,98,83,Aerobic Place Count,2024-01-06,2024-03-04,2024-03-11,<1
2567,28,54,Yeast,2024-01-25,2024-02-16,2024-02-26,<1
2568,98,19,Total Coliform,2024-03-03,2024-03-07,2024-03-09,<1
2569,57,92,Staph,2024-01-29,2024-03-15,2024-03-16,<1
2570,44,38,Yeast,2024-02-02,2024-02-28,2024-03-14,<1
2571,36,99,Ochratoxin,2024-02-26,2024-03-05,2024-03-08,<1
2572,91,95,Total Coliform,2024-02-26,2024-03-02,2024-03-06,<1
2573,2,70,Yeast,2024-02-10,2024-03-06,2024-03-09,<1
2574,94,80,Total Coliform,2024-03-14,2024-03-15,2024-03-17,<1
2575,70,27,Salmonella,2024-02-26,2024-03-01,2024-03-17,Negative
2576,91,13,E.Coli Count,2024-01-08,2024-01-16,2024-01-23,<1
2577,18,95,Enterobateria,2024-02-03,2024-02-12,2024-02-17,<1
2578,50,89,Salmonella,2024-01-01,2024-03-16,2024-03-16,Negative
2579,88,96,Total Coliform,2024-02-15,2024-03-10,2024-03-12,<1
2580,93,71,Ochratoxin,2024-02-26,2024-03-16,2024-03-16,<1
2581,40,31,Aerobic Place Count,2024-02-21,2024-03-10,2024-03-13,<1
2582,7,49,Listeria Mono,2024-01-04,2024-01-07,2024-02-23,Negative
2583,98,55,Listeria Mono,2024-01-14,2024-03-15,2024-03-17,Negative
2584,64,33,Staph,2024-03-06,2024-03-13,2024-03-15,<1
2585,19,1,Enterobateria,2024-01-11,2024-03-12,2024-03-17,<1
2586,44,24,Total Coliform,2024-01-21,2024-03-02,2024-03-13,<1
2587,44,46,Aerobic Place Count,2024-01-20,2024-02-19,2024-02-22,<1
2588,72,28,Listeria Mono,2024-02-20,2024-03-17,2024-03-17,Negative
2589,89,37,Aerobic Place Count,2024-03-01,2024-03-04,2024-03-12,<1
2590,31,80,Mold,2024-02-20,2024-02-24,2024-03-07,<1
2591,76,5,EO157,2024-01-08,2024-03-05,2024-03-09,Negative
2592,41,5,Yeast,2024-01-06,2024-03-02,2024-03-05,<1
2593,25,60,Staph,2024-02-29,2024-03-16,2024-03-17,<1
2594,68,81,Ochratoxin,2024-01-10,2024-03-10,2024-03-13,39
2595,99,14,Total Coliform,2024-03-02,2024-03-14,2024-03-17,<1
2596,77,74,Listeria Spp,2024-03-14,2024-03-14,2024-03-14,Negative
2597,81,54,Salmonella,2024-02-07,2024-03-17,2024-03-17,Negative
2598,93,11,Listeria Spp,2024-02-26,2024-03-13,2024-03-14,Negative
2599,59,95,E.Coli Count,2024-02-12,2024-02-28,2024-03-13,<1
2600,94,81,Staph,2024-01-29,2024-03-11,2024-03-13,4879
2601,15,72,Enterobateria,2024-03-08,2024-03-16,2024-03-16,<1
2602,21,19,Listeria Spp,2024-02-03,2024-02-13,2024-03-11,Negative
2603,7,30,Staph,2024-02-03,2024-03-13,2024-03-16,<1
2604,16,52,Enterobateria,2024-02-15,2024-02-26,2024-03-03,<1
2605,15,44,Enterobateria,2024-01-31,2024-02-29,2024-03-02,<1
2606,64,79,Aerobic Place Count,2024-03-14,2024-03-15,2024-03-17,<1
2607,4,23,Total Coliform,2024-02-22,2024-03-06,2024-03-07,<1
2608,33,72,Aflatoxin,2024-03-04,2024-03-15,2024-03-17,<1
2609,96,27,Mold,2024-01-10,2024-03-02,2024-03-12,<1
2610,29,40,E.Coli Count,2024-03-12,2024-03-12,2024-03-12,<1
2611,5,60,Aerobic Place Count,2024-01-18,2024-03-07,2024-03-10,<1
2612,57,47,Mold,2024-01-03,2024-03-01,2024-03-10,<1
2613,34,20,Listeria Spp,2024-01-05,2024-02-13,2024-02-25,Negative
2614,8,19,Listeria Spp,2024-03-01,2024-03-07,2024-03-08,Negative
2615,100,97,Aflatoxin,2024-01-29,2024-02-19,2024-02-23,<1
2616,43,45,E.Coli Count,2024-01-30,2024-02-09,2024-03-06,<1
2617,79,67,E.Coli Count,2024-01-25,2024-02-11,2024-02-15,<1
2618,82,69,Aerobic Place Count,2024-02-06,2024-02-23,2024-03-17,<1
2619,83,3,E.Coli Count,2024-01-17,2024-03-09,2024-03-09,<1
2620,34,44,Ochratoxin,2024-01-14,2024-02-05,2024-02-19,8034
2621,87,98,Listeria Spp,2024-02-28,2024-03-16,2024-03-17,Negative
2622,32,33,Enterobateria,2024-02-16,2024-03-15,2024-03-16,<1
2623,27,82,Salmonella,2024-02-11,2024-03-03,2024-03-15,Negative
2624,84,64,Total Coliform,2024-03-07,2024-03-11,2024-03-15,<1
2625,51,99,Listeria Spp,2024-02-05,2024-03-04,2024-03-08,Negative
2626,18,67,Ochratoxin,2024-02-15,2024-03-09,2024-03-10,<1
2627,15,31,Listeria Spp,2024-01-21,2024-03-16,2024-03-16,Negative
2628,43,50,Listeria Mono,2024-02-25,2024-02-29,2024-03-15,Negative
2629,55,6,EO157,2024-03-04,2024-03-05,2024-03-05,Negative
2630,64,24,Salmonella,2024-01-22,2024-02-27,2024-03-06,Negative
2631,23,31,Enterobateria,2024-03-15,2024-03-15,2024-03-17,<1
2632,70,86,Yeast,2024-02-18,2024-02-28,2024-03-16,<1
2633,1,99,Ochratoxin,2024-01-23,2024-03-09,2024-03-14,<1
2634,45,42,Aflatoxin,2024-03-04,2024-03-16,2024-03-16,<1
2635,84,28,E.Coli Count,2024-02-11,2024-02-22,2024-02-29,<1
2636,91,33,Mold,2024-01-26,2024-03-08,2024-03-17,<1
2637,90,9,Enterobateria,2024-03-11,2024-03-13,2024-03-17,<1
2638,25,3,Enterobateria,2024-01-02,2024-02-20,2024-03-13,<1
2639,93,82,Mold,2024-01-20,2024-02-18,2024-02-19,<1
2640,7,69,Enterobateria,2024-01-06,2024-03-16,2024-03-17,<1
2641,16,85,Aerobic Place Count,2024-01-14,2024-02-08,2024-03-10,<1
2642,12,100,E.Coli Count,2024-01-25,2024-02-20,2024-03-08,<1
2643,54,50,Enterobateria,2024-02-23,2024-03-15,2024-03-15,<1
2644,22,91,E.Coli Count,2024-02-03,2024-03-06,2024-03-13,<1
2645,59,64,Enterobateria,2024-03-06,2024-03-11,2024-03-16,<1
2646,26,14,Staph,2024-01-30,2024-03-01,2024-03-17,<1
2647,50,37,Total Coliform,2024-02-18,2024-03-01,2024-03-07,<1
2648,96,30,Listeria Mono,2024-02-03,2024-02-29,2024-03-05,Negative
2649,86,32,Mold,2024-02-17,2024-03-12,2024-03-12,<1
2650,30,96,Ochratoxin,2024-03-15,2024-03-15,2024-03-16,<1
2651,9,29,E.Coli Count,2024-01-24,2024-02-06,2024-02-14,<1
2652,47,84,Aflatoxin,2024-01-02,2024-03-10,2024-03-12,<1
2653,97,39,Aerobic Place Count,2024-02-16,2024-02-17,2024-03-14,<1
2654,16,55,Ochratoxin,2024-02-10,2024-03-14,2024-03-17,<1
2655,25,89,Enterobateria,2024-01-11,2024-02-01,2024-03-07,<1
2656,40,32,Salmonella,2024-03-01,2024-03-06,2024-03-16,Negative
2657,30,53,Staph,2024-02-14,2024-03-07,2024-03-07,<1
2658,25,54,Mold,2024-02-16,2024-02-26,2024-03-16,<1
2659,32,73,Aerobic Place Count,2024-01-15,2024-02-04,2024-03-06,7462
2660,47,30,Total Coliform,2024-02-04,2024-02-07,2024-03-05,<1
2661,49,15,Ochratoxin,2024-01-23,2024-02-16,2024-02-27,<1
2662,51,97,Yeast,2024-03-14,2024-03-17,2024-03-17,<1
2663,3,46,Yeast,2024-03-08,2024-03-11,2024-03-12,<1
2664,84,41,Listeria Mono,2024-03-06,2024-03-09,2024-03-10,Positive
2665,93,34,E.Coli Count,2024-02-18,2024-03-10,2024-03-14,<1
2666,49,29,Total Coliform,2024-01-24,2024-03-04,2024-03-10,<1
2667,64,79,Staph,2024-02-10,2024-02-14,2024-03-11,<1
2668,30,75,Aflatoxin,2024-02-08,2024-03-10,2024-03-17,<1
2669,10,88,Aflatoxin,2024-02-13,2024-03-16,2024-03-16,<1
2670,36,25,Listeria Spp,2024-02-22,2024-02-27,2024-02-27,Negative
2671,57,90,EO157,2024-02-21,2024-03-06,2024-03-11,Negative
2672,9,94,Listeria Mono,2024-02-26,2024-03-16,2024-03-17,Negative
2673,42,27,EO157,2024-01-14,2024-02-08,2024-02-19,Negative
2674,88,86,EO157,2024-02-05,2024-02-06,2024-02-20,Negative
2675,95,55,Salmonella,2024-01-19,2024-02-25,2024-03-17,Negative
2676,39,52,Mold,2024-02-27,2024-02-29,2024-03-12,<1
2677,88,84,E.Coli Count,2024-01-23,2024-02-27,2024-03-14,<1
2678,88,56,Yeast,2024-01-11,2024-02-08,2024-02-11,<1
2679,56,28,EO157,2024-01-25,2024-02-21,2024-03-10,Negative
2680,59,89,Aerobic Place Count,2024-01-05,2024-01-24,2024-02-21,<1
2681,37,22,Aflatoxin,2024-02-07,2024-02-25,2024-03-09,1324
2682,52,16,Total Coliform,2024-03-01,2024-03-09,2024-03-10,8227
2683,15,74,Ochratoxin,2024-03-09,2024-03-12,2024-03-14,<1
2684,79,90,Staph,2024-02-11,2024-03-16,2024-03-16,<1
2685,98,69,Mold,2024-02-18,2024-02-29,2024-03-02,1749
2686,66,37,EO157,2024-03-04,2024-03-07,2024-03-12,Negative
2687,73,26,Salmonella,2024-02-15,2024-02-16,2024-03-01,Negative
2688,55,89,Ochratoxin,2024-01-31,2024-02-01,2024-03-02,<1
2689,11,81,E.Coli Count,2024-02-09,2024-02-15,2024-03-02,<1
2690,24,27,Salmonella,2024-01-28,2024-02-08,2024-03-12,Negative
2691,78,75,E.Coli Count,2024-02-23,2024-03-07,2024-03-14,<1
2692,80,92,Aflatoxin,2024-01-18,2024-03-06,2024-03-14,<1
2693,41,35,Yeast,2024-03-04,2024-03-06,2024-03-15,2075
2694,17,59,E.Coli Count,2024-02-13,2024-02-25,2024-03-02,<1
2695,32,97,Yeast,2024-02-17,2024-03-16,2024-03-17,<1
2696,25,66,Listeria Spp,2024-03-15,2024-03-15,2024-03-15,Negative
2697,70,17,Enterobateria,2024-01-09,2024-02-05,2024-02-08,<1
2698,60,46,Total Coliform,2024-03-03,2024-03-05,2024-03-14,<1
2699,21,45,Staph,2024-01-25,2024-03-17,2024-03-17,<1
2700,66,39,Listeria Mono,2024-03-02,2024-03-11,2024-03-15,Negative
2701,28,59,Salmonella,2024-01-19,2024-02-20,2024-02-27,Negative
2702,88,4,Ochratoxin,2024-02-18,2024-03-15,2024-03-17,<1
2703,29,78,Listeria Mono,2024-01-26,2024-03-01,2024-03-14,Negative
2704,29,32,EO157,2024-02-10,2024-03-10,2024-03-16,Negative
2705,59,76,Aflatoxin,2024-01-08,2024-02-22,2024-03-13,<1
2706,80,44,E.Coli Count,2024-01-17,2024-03-16,2024-03-17,<1
2707,68,69,Aflatoxin,2024-02-11,2024-02-19,2024-03-09,<1
2708,14,70,Yeast,2024-03-04,2024-03-12,2024-03-14,<1
2709,70,38,Aflatoxin,2024-02-07,2024-02-11,2024-02-23,<1
2710,45,45,Mold,2024-02-29,2024-03-01,2024-03-13,<1
2711,18,81,E.Coli Count,2024-03-04,2024-03-05,2024-03-16,<1
2712,54,1,Listeria Mono,2024-03-10,2024-03-16,2024-03-17,Negative
2713,37,52,Staph,2024-01-27,2024-02-17,2024-03-15,<1
2714,26,58,Aerobic Place Count,2024-03-15,2024-03-16,2024-03-16,<1
2715,22,88,Ochratoxin,2024-02-15,2024-02-18,2024-02-27,7985
2716,23,96,Yeast,2024-03-16,2024-03-16,2024-03-17,<1
2717,38,11,Listeria Mono,2024-03-05,2024-03-13,2024-03-16,Negative
2718,68,55,EO157,2024-02-18,2024-03-09,2024-03-09,Negative
2719,24,86,Staph,2024-03-05,2024-03-16,2024-03-16,<1
2720,57,18,Salmonella,2024-02-23,2024-02-25,2024-03-09,Negative
2721,65,35,Enterobateria,2024-02-20,2024-03-07,2024-03-14,<1
2722,19,69,Listeria Spp,2024-02-22,2024-02-22,2024-03-17,Positive
2723,67,35,Staph,2024-01-17,2024-02-21,2024-03-04,<1
2724,22,3,Listeria Mono,2024-02-11,2024-02-12,2024-03-06,Negative
2725,38,72,Ochratoxin,2024-01-06,2024-02-03,2024-03-01,<1
2726,24,12,Listeria Spp,2024-02-22,2024-03-02,2024-03-13,Negative
2727,80,20,Yeast,2024-02-28,2024-03-09,2024-03-15,<1
2728,79,45,E.Coli Count,2024-02-09,2024-02-19,2024-03-04,<1
2729,76,95,Enterobateria,2024-03-07,2024-03-16,2024-03-16,<1
2730,76,75,Total Coliform,2024-01-01,2024-01-22,2024-02-19,<1
2731,73,88,Aerobic Place Count,2024-02-25,2024-02-29,2024-03-03,<1
2732,11,20,Yeast,2024-01-07,2024-02-08,2024-03-14,<1
2733,3,37,Listeria Spp,2024-03-07,2024-03-12,2024-03-16,Negative
2734,93,82,Yeast,2024-01-26,2024-02-29,2024-03-04,6733
2735,35,22,Listeria Spp,2024-02-13,2024-02-15,2024-02-17,Negative
2736,30,23,Enterobateria,2024-01-08,2024-01-18,2024-03-11,<1
2737,20,61,Salmonella,2024-02-04,2024-03-05,2024-03-09,Negative
2738,78,71,Aerobic Place Count,2024-03-08,2024-03-13,2024-03-17,<1
2739,84,3,E.Coli Count,2024-01-02,2024-02-01,2024-02-16,<1
2740,39,10,Salmonella,2024-01-22,2024-03-12,2024-03-15,Negative
2741,79,10,Enterobateria,2024-02-13,2024-03-17,2024-03-17,<1
2742,50,30,Aerobic Place Count,2024-02-02,2024-02-08,2024-02-09,<1
2743,2,5,Total Coliform,2024-02-20,2024-02-27,2024-03-03,<1
2744,83,39,Enterobateria,2024-01-22,2024-02-13,2024-02-22,<1
2745,18,23,Staph,2024-01-01,2024-03-16,2024-03-17,<1
2746,39,30,Aflatoxin,2024-02-14,2024-03-16,2024-03-16,<1
2747,38,36,Listeria Spp,2024-02-01,2024-02-28,2024-03-07,Negative
2748,48,45,Listeria Spp,2024-02-12,2024-02-24,2024-03-08,Negative
2749,92,85,EO157,2024-01-24,2024-01-29,2024-02-14,Negative
2750,21,26,Total Coliform,2024-01-01,2024-01-12,2024-01-30,<1
2751,23,4,Aflatoxin,2024-03-02,2024-03-17,2024-03-17,<1
2752,82,81,Listeria Mono,2024-01-12,2024-01-30,2024-02-15,Negative
2753,75,26,Mold,2024-03-15,2024-03-16,2024-03-16,<1
2754,42,37,Aerobic Place Count,2024-03-17,2024-03-17,2024-03-17,<1
2755,15,49,E.Coli Count,2024-01-15,2024-01-30,2024-03-09,<1
2756,23,67,Yeast,2024-03-09,2024-03-11,2024-03-17,<1
2757,80,64,Listeria Spp,2024-02-01,2024-02-11,2024-03-08,Negative
2758,47,81,Listeria Spp,2024-02-02,2024-02-21,2024-03-06,Negative
2759,6,94,E.Coli Count,2024-02-20,2024-02-25,2024-03-12,8311
2760,94,60,Total Coliform,2024-02-05,2024-02-11,2024-02-23,<1
2761,29,31,Staph,2024-01-16,2024-01-22,2024-03-04,<1
2762,3,2,Staph,2024-01-16,2024-02-08,2024-02-27,<1
2763,84,33,Staph,2024-01-14,2024-01-20,2024-02-23,<1
2764,29,91,EO157,2024-01-31,2024-02-07,2024-03-14,Negative
2765,92,13,Listeria Spp,2024-02-10,2024-03-05,2024-03-10,Negative
2766,47,70,Mold,2024-01-06,2024-01-30,2024-03-14,<1
2767,57,12,Listeria Spp,2024-02-28,2024-03-07,2024-03-11,Negative
2768,69,41,E.Coli Count,2024-02-06,2024-02-21,2024-02-26,<1
2769,74,16,Mold,2024-02-15,2024-03-02,2024-03-09,<1
2770,22,45,Listeria Mono,2024-01-14,2024-03-03,2024-03-17,Negative
2771,76,47,Staph,2024-01-16,2024-01-25,2024-02-24,<1
2772,53,41,Listeria Spp,2024-03-02,2024-03-04,2024-03-04,Negative
2773,94,22,Mold,2024-01-09,2024-01-22,2024-01-31,<1
2774,97,29,Aerobic Place Count,2024-01-31,2024-02-17,2024-03-08,<1
2775,53,97,Aflatoxin,2024-01-04,2024-03-03,2024-03-04,<1
2776,15,48,Staph,2024-01-27,2024-02-24,2024-03-11,<1
2777,64,71,Enterobateria,2024-01-20,2024-02-27,2024-03-09,<1
2778,97,64,Mold,2024-01-23,2024-03-15,2024-03-17,<1
2779,9,88,Aflatoxin,2024-01-01,2024-03-05,2024-03-05,<1
2780,4,82,Yeast,2024-02-03,2024-03-01,2024-03-17,<1
2781,37,56,Enterobateria,2024-03-10,2024-03-12,2024-03-14,<1
2782,83,3,Listeria Mono,2024-01-02,2024-03-15,2024-03-17,Positive
2783,51,32,Aflatoxin,2024-01-05,2024-03-09,2024-03-12,7957
2784,38,20,E.Coli Count,2024-02-27,2024-03-09,2024-03-16,<1
2785,15,74,Listeria Spp,2024-01-06,2024-01-20,2024-01-26,Negative
2786,58,37,Listeria Spp,2024-01-11,2024-01-19,2024-03-09,Negative
2787,13,42,Enterobateria,2024-01-19,2024-02-24,2024-03-01,<1
2788,14,38,Total Coliform,2024-01-09,2024-02-08,2024-02-28,<1
2789,75,57,Salmonella,2024-01-28,2024-03-06,2024-03-08,Negative
2790,3,39,Aerobic Place Count,2024-02-28,2024-03-09,2024-03-11,<1
2791,29,96,Listeria Mono,2024-02-20,2024-02-23,2024-03-16,Positive
2792,81,1,Enterobateria,2024-01-31,2024-02-01,2024-02-29,<1
2793,14,50,Enterobateria,2024-02-05,2024-02-19,2024-03-16,<1
2794,6,8,Mold,2024-03-17,2024-03-17,2024-03-17,<1
2795,10,39,E.Coli Count,2024-01-22,2024-02-20,2024-03-16,<1
2796,15,95,Listeria Spp,2024-01-23,2024-02-24,2024-03-16,Negative
2797,72,61,Aerobic Place Count,2024-01-23,2024-02-19,2024-03-13,<1
2798,55,74,Aerobic Place Count,2024-02-17,2024-03-17,2024-03-17,<1
2799,82,3,Ochratoxin,2024-03-03,2024-03-08,2024-03-11,<1
2800,99,61,Salmonella,2024-01-24,2024-02-28,2024-03-15,Negative
2801,16,59,Mold,2024-01-23,2024-01-30,2024-02-06,<1
2802,22,67,Ochratoxin,2024-02-06,2024-02-17,2024-02-23,<1
2803,15,62,Yeast,2024-03-16,2024-03-16,2024-03-17,<1
2804,75,53,Enterobateria,2024-02-23,2024-03-06,2024-03-06,<1
2805,62,26,Salmonella,2024-03-12,2024-03-17,2024-03-17,Negative
2806,46,61,Enterobateria,2024-02-22,2024-02-25,2024-03-15,<1
2807,3,24,Ochratoxin,2024-03-01,2024-03-15,2024-03-15,<1
2808,9,16,E.Coli Count,2024-02-13,2024-03-06,2024-03-09,<1
2809,37,39,E.Coli Count,2024-03-07,2024-03-10,2024-03-12,<1
2810,82,89,Total Coliform,2024-01-12,2024-03-06,2024-03-09,<1
2811,96,38,Listeria Spp,2024-02-05,2024-03-12,2024-03-16,Negative
2812,97,75,EO157,2024-02-05,2024-02-21,2024-03-13,Negative
2813,81,13,Enterobateria,2024-03-07,2024-03-11,2024-03-11,<1
2814,67,49,Listeria Spp,2024-01-31,2024-03-04,2024-03-10,Negative
2815,43,74,Yeast,2024-01-16,2024-02-21,2024-02-24,<1
2816,1,28,Aflatoxin,2024-01-14,2024-02-01,2024-03-16,<1
2817,67,16,Listeria Spp,2024-01-21,2024-02-13,2024-02-14,Negative
2818,10,89,Listeria Mono,2024-01-31,2024-02-01,2024-02-24,Negative
2819,38,79,Ochratoxin,2024-02-09,2024-02-14,2024-02-17,<1
2820,2,45,Listeria Spp,2024-03-01,2024-03-08,2024-03-11,Negative
2821,76,71,Salmonella,2024-01-18,2024-02-12,2024-03-05,Negative
2822,42,45,Ochratoxin,2024-03-16,2024-03-17,2024-03-17,<1
2823,61,52,Staph,2024-02-06,2024-02-17,2024-03-09,<1
2824,69,22,Ochratoxin,2024-03-08,2024-03-15,2024-03-17,<1
2825,31,53,Salmonella,2024-01-05,2024-01-15,2024-02-14,Negative
2826,98,91,Mold,2024-03-10,2024-03-10,2024-03-17,<1
2827,71,88,Aflatoxin,2024-01-18,2024-03-12,2024-03-15,<1
2828,18,47,Aerobic Place Count,2024-01-01,2024-01-08,2024-02-11,220
2829,26,48,Yeast,2024-01-08,2024-02-02,2024-02-03,<1
2830,42,86,EO157,2024-02-16,2024-02-25,2024-02-25,Negative
2831,4,43,Mold,2024-03-11,2024-03-11,2024-03-16,<1
2832,15,75,E.Coli Count,2024-01-15,2024-02-13,2024-02-18,<1
2833,90,86,Staph,2024-01-13,2024-02-28,2024-03-15,<1
2834,80,1,Salmonella,2024-02-24,2024-02-24,2024-03-03,Negative
2835,89,52,Staph,2024-02-19,2024-03-15,2024-03-16,<1
2836,19,49,EO157,2024-01-28,2024-01-29,2024-03-11,Negative
2837,65,20,Listeria Spp,2024-01-31,2024-02-21,2024-03-11,Negative
2838,52,61,Enterobateria,2024-01-10,2024-02-12,2024-02-13,<1
2839,53,77,E.Coli Count,2024-03-03,2024-03-13,2024-03-13,<1
2840,64,85,EO157,2024-02-17,2024-03-05,2024-03-06,Negative
2841,96,50,EO157,2024-01-27,2024-02-18,2024-03-03,Negative
2842,100,37,Ochratoxin,2024-01-24,2024-02-12,2024-02-17,<1
2843,94,99,Mold,2024-01-09,2024-02-05,2024-02-06,<1
2844,25,56,Staph,2024-01-11,2024-03-05,2024-03-17,<1
2845,52,89,Salmonella,2024-02-05,2024-02-23,2024-02-23,Negative
2846,11,45,Listeria Spp,2024-03-01,2024-03-12,2024-03-14,Negative
2847,95,87,Listeria Mono,2024-01-22,2024-03-10,2024-03-13,Negative
2848,66,78,Ochratoxin,2024-01-28,2024-02-19,2024-03-11,<1
2849,49,11,Mold,2024-03-05,2024-03-15,2024-03-16,<1
2850,15,66,Yeast,2024-02-16,2024-03-16,2024-03-16,<1
2851,65,99,E.Coli Count,2024-02-23,2024-03-10,2024-03-11,<1
2852,42,61,Total Coliform,2024-01-13,2024-02-01,2024-02-01,<1
2853,63,74,Staph,2024-03-06,2024-03-06,2024-03-10,<1
2854,95,64,Total Coliform,2024-01-04,2024-01-10,2024-01-20,8851
2855,16,17,EO157,2024-02-24,2024-03-07,2024-03-16,Negative
2856,15,95,Salmonella,2024-03-07,2024-03-10,2024-03-14,Negative
2857,98,87,Mold,2024-03-05,2024-03-16,2024-03-16,3620
2858,37,40,Salmonella,2024-02-21,2024-03-07,2024-03-15,Negative
2859,66,79,Total Coliform,2024-02-21,2024-02-25,2024-03-16,<1
2860,87,2,Enterobateria,2024-02-09,2024-03-07,2024-03-17,5724
2861,44,71,Aflatoxin,2024-02-27,2024-03-03,2024-03-11,<1
2862,16,60,Listeria Mono,2024-02-15,2024-03-06,2024-03-14,Negative
2863,82,91,Staph,2024-02-25,2024-03-11,2024-03-11,<1
2864,26,39,Aflatoxin,2024-01-27,2024-02-03,2024-03-09,<1
2865,77,24,Ochratoxin,2024-02-06,2024-03-05,2024-03-06,<1
2866,34,12,Salmonella,2024-01-05,2024-02-18,2024-02-20,Negative
2867,26,18,Yeast,2024-01-03,2024-03-01,2024-03-05,<1
2868,6,87,E.Coli Count,2024-02-01,2024-03-08,2024-03-16,<1
2869,26,51,E.Coli Count,2024-03-12,2024-03-14,2024-03-17,<1
2870,19,72,EO157,2024-03-02,2024-03-05,2024-03-14,Negative
2871,59,23,Listeria Spp,2024-01-07,2024-01-28,2024-02-29,Negative
2872,9,74,Salmonella,2024-03-02,2024-03-05,2024-03-13,Negative
2873,71,30,Mold,2024-02-10,2024-02-21,2024-03-13,<1
2874,58,58,Ochratoxin,2024-02-28,2024-03-04,2024-03-15,<1
2875,19,85,Aerobic Place Count,2024-01-04,2024-02-03,2024-02-03,5384
2876,24,13,Aerobic Place Count,2024-02-03,2024-02-08,2024-02-22,3473
2877,57,91,Aflatoxin,2024-01-15,2024-02-11,2024-03-03,<1
2878,38,64,Mold,2024-02-23,2024-02-23,2024-03-03,<1
2879,9,70,Salmonella,2024-02-26,2024-03-01,2024-03-17,Negative
2880,79,85,Listeria Mono,2024-02-21,2024-03-07,2024-03-12,Negative
2881,36,11,Yeast,2024-03-15,2024-03-17,2024-03-17,<1
2882,57,51,E.Coli Count,2024-02-15,2024-03-06,2024-03-07,<1
2883,76,67,Enterobateria,2024-03-12,2024-03-13,2024-03-17,<1
2884,13,14,Ochratoxin,2024-02-10,2024-03-13,2024-03-13,<1
2885,25,90,Enterobateria,2024-03-10,2024-03-11,2024-03-11,<1
2886,99,55,E.Coli Count,2024-01-27,2024-02-26,2024-02-26,3324
2887,28,64,Enterobateria,2024-03-17,2024-03-17,2024-03-17,<1
2888,93,50,Staph,2024-02-05,2024-02-06,2024-03-16,<1
2889,40,75,Staph,2024-03-10,2024-03-12,2024-03-14,<1
2890,19,88,EO157,2024-02-18,2024-03-05,2024-03-06,Negative
2891,89,44,Staph,2024-01-29,2024-02-17,2024-02-22,<1
2892,60,88,Salmonella,2024-01-28,2024-02-28,2024-03-16,Negative
2893,38,47,Enterobateria,2024-01-24,2024-03-08,2024-03-12,<1
2894,40,14,Staph,2024-02-07,2024-02-29,2024-03-10,349
2895,76,65,E.Coli Count,2024-01-19,2024-03-17,2024-03-17,<1
2896,65,91,Listeria Spp,2024-01-08,2024-01-09,2024-01-17,Negative
2897,20,12,Ochratoxin,2024-01-23,2024-02-20,2024-02-20,<1
2898,63,96,Aerobic Place Count,2024-03-15,2024-03-15,2024-03-15,<1
2899,91,27,Total Coliform,2024-02-19,2024-03-04,2024-03-11,<1
2900,71,93,E.Coli Count,2024-01-29,2024-02-17,2024-02-18,<1
2901,45,37,Total Coliform,2024-02-19,2024-02-27,2024-03-17,<1
2902,61,56,Ochratoxin,2024-01-27,2024-03-17,2024-03-17,<1
2903,28,69,Mold,2024-02-05,2024-03-02,2024-03-03,<1
2904,86,35,Salmonella,2024-01-11,2024-01-11,2024-02-26,Negative
2905,47,36,Yeast,2024-01-12,2024-02-10,2024-02-29,<1
2906,66,57,EO157,2024-03-12,2024-03-16,2024-03-17,Negative
2907,12,39,Ochratoxin,2024-02-19,2024-02-20,2024-02-21,<1
2908,49,5,EO157,2024-02-17,2024-02-22,2024-03-17,Negative
2909,19,20,Salmonella,2024-01-08,2024-02-04,2024-02-21,Negative
2910,92,90,Salmonella,2024-02-23,2024-03-04,2024-03-04,Negative
2911,42,83,Aflatoxin,2024-02-03,2024-02-21,2024-03-03,<1
